# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024fyi
# CHANNEL = B+R
# EXPNUM = 24_100_027_003
# MJD-OBS = 60409.361522
# DATE-OBS = 2024-04-09T08:40:37
# EXPTIME = 1800.0s
# AIRMASS = 1.05
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 12:29:38.33
# DEC = 32:45:21.92
# wl fl err
# [A] [erg/s/cm2/A]
4243.480000 4.426952e-16 1.927676e-17
4246.480000 4.368079e-16 1.826454e-17
4249.480000 4.003205e-16 1.642715e-17
4252.480000 4.184836e-16 1.784651e-17
4255.480000 4.609750e-16 1.900524e-17
4258.480000 4.451750e-16 1.740892e-17
4261.480000 4.207992e-16 1.616882e-17
4264.480000 4.339529e-16 1.792636e-17
4267.480000 4.653992e-16 1.875019e-17
4270.480000 4.551872e-16 1.702851e-17
4273.480000 4.622642e-16 1.648509e-17
4276.480000 4.463735e-16 1.843229e-17
4279.480000 4.023951e-16 1.834882e-17
4282.480000 4.201860e-16 1.634200e-17
4285.480000 4.205492e-16 1.627404e-17
4288.480000 3.937625e-16 1.858307e-17
4291.480000 4.414446e-16 1.874146e-17
4294.480000 4.458333e-16 1.643411e-17
4297.480000 4.346810e-16 1.668391e-17
4300.480000 4.284815e-16 1.854905e-17
4303.480000 4.414562e-16 1.808116e-17
4306.480000 4.628727e-16 1.618368e-17
4309.480000 4.251624e-16 1.665239e-17
4312.480000 3.769872e-16 1.784086e-17
4315.480000 3.362290e-16 1.682824e-17
4318.480000 3.135525e-16 1.534900e-17
4321.480000 3.439958e-16 1.667360e-17
4324.480000 3.701519e-16 1.772219e-17
4327.480000 3.826650e-16 1.657010e-17
4330.480000 3.779259e-16 1.547686e-17
4333.480000 3.764042e-16 1.709398e-17
4336.480000 4.120671e-16 1.805495e-17
4339.480000 4.284614e-16 1.644515e-17
4342.480000 4.006466e-16 1.562463e-17
4345.480000 3.651760e-16 1.717598e-17
4348.480000 3.220024e-16 1.728230e-17
4351.480000 3.366900e-16 1.539414e-17
4354.480000 3.687189e-16 1.540735e-17
4357.480000 3.880170e-16 1.768850e-17
4360.480000 3.950733e-16 1.783480e-17
4363.480000 4.022624e-16 1.586520e-17
4366.480000 4.446462e-16 1.636053e-17
4369.480000 4.726503e-16 1.829806e-17
4372.480000 4.651095e-16 1.785209e-17
4375.480000 4.690981e-16 1.596428e-17
4378.480000 4.524472e-16 1.661919e-17
4381.480000 4.866252e-16 1.829954e-17
4384.480000 5.136785e-16 1.757294e-17
4387.480000 4.802993e-16 1.589058e-17
4390.480000 4.607666e-16 1.697113e-17
4393.480000 5.008110e-16 1.823557e-17
4396.480000 4.815146e-16 1.716119e-17
4399.480000 4.907432e-16 1.593050e-17
4402.480000 4.911748e-16 1.741790e-17
4405.480000 4.693292e-16 1.826282e-17
4408.480000 4.335887e-16 1.663561e-17
4411.480000 4.711611e-16 1.610653e-17
4414.480000 4.861384e-16 1.799838e-17
4417.480000 4.812498e-16 1.839395e-17
4420.480000 4.497649e-16 1.683238e-17
4423.480000 4.284602e-16 1.703057e-17
4426.480000 4.309182e-16 1.821776e-17
4429.480000 4.547736e-16 1.813772e-17
4432.480000 4.488701e-16 1.577728e-17
4435.480000 4.393019e-16 1.596284e-17
4438.480000 4.210760e-16 1.779878e-17
4441.480000 4.174458e-16 1.743618e-17
4444.480000 4.204533e-16 1.560036e-17
4447.480000 4.497376e-16 1.638862e-17
4450.480000 4.425701e-16 1.771592e-17
4453.480000 4.081963e-16 1.696057e-17
4456.480000 3.925460e-16 1.531474e-17
4459.480000 4.190127e-16 1.613498e-17
4462.480000 4.330149e-16 1.718570e-17
4465.480000 4.448421e-16 1.640314e-17
4468.480000 4.416276e-16 1.528461e-17
4471.480000 4.186000e-16 1.654961e-17
4474.480000 4.324406e-16 1.736996e-17
4477.480000 4.135736e-16 1.578727e-17
4480.480000 4.351170e-16 1.514225e-17
4483.480000 4.485599e-16 1.703952e-17
4486.480000 4.446841e-16 1.773483e-17
4489.480000 4.631813e-16 1.617978e-17
4492.480000 4.517587e-16 1.578569e-17
4495.480000 4.683681e-16 1.807624e-17
4498.480000 4.319132e-16 1.754717e-17
4501.480000 3.697118e-16 1.510396e-17
4504.480000 3.956425e-16 1.530369e-17
4507.480000 4.075621e-16 1.719640e-17
4510.480000 3.980554e-16 1.693005e-17
4513.480000 4.189155e-16 1.526909e-17
